Million tonnes of carbon dioxide;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2018;2007-17;2018
Canada;259.9;271.1;284.9;307.3;319.2;343.8;350.7;367.0;386.2;392.5;389.3;408.3;432.6;418.4;425.4;434.8;415.3;402.7;384.5;404.6;399.8;389.3;402.6;433.0;452.4;447.3;429.0;440.8;434.9;450.0;461.2;470.5;484.9;498.6;504.4;526.1;523.9;534.8;546.9;540.2;541.5;528.3;551.2;545.6;502.3;526.7;539.0;523.2;541.9;551.3;544.6;535.9;549.5;550.3;0.138%;?;1.6%
Mexico;62.1;65.0;66.6;72.2;79.1;84.2;89.5;99.7;107.7;120.8;131.1;138.9;146.5;165.1;180.2;198.1;211.0;221.3;217.8;226.5;233.9;230.4;239.9;240.9;253.8;267.9;277.3;280.3;283.8;307.5;294.8;306.1;319.3;336.6;333.5;353.2;351.9;371.3;372.8;390.3;416.2;426.8;428.9;431.6;433.0;442.4;465.4;473.7;472.5;459.2;463.0;468.5;476.8;462.5;-3.013%;1.1%;1.4%
US;3480.1;3675.5;3772.6;3994.2;4170.1;4298.2;4340.7;4564.7;4764.4;4596.4;4466.3;4741.9;4900.3;4844.4;4943.4;4773.5;4611.3;4374.6;4358.7;4557.8;4573.7;4585.5;4728.6;4948.8;5037.9;4946.6;4900.4;4978.2;5093.7;5170.6;5201.1;5383.8;5490.3;5528.4;5577.1;5748.3;5636.8;5651.9;5717.5;5816.0;5851.3;5771.0;5861.1;5675.7;5263.9;5465.6;5355.7;5137.0;5260.5;5300.4;5153.7;5053.7;5014.4;5145.2;2.609%;-1.5%;15.2%
Total North America;3802.1;4011.6;4124.2;4373.7;4568.4;4726.1;4780.9;5031.4;5258.2;5109.7;4986.7;5289.1;5479.5;5427.9;5549.0;5406.4;5237.6;4998.6;4961.0;5188.9;5207.4;5205.1;5371.2;5622.8;5744.2;5661.8;5606.7;5699.3;5812.4;5928.2;5957.1;6160.3;6294.5;6363.5;6415.1;6627.5;6512.6;6558.0;6637.2;6746.6;6809.1;6726.1;6841.2;6652.9;6199.2;6434.7;6360.1;6134.0;6274.9;6310.9;6161.2;6058.2;6040.7;6157.9;1.9%;-1.2%;18.2%
Argentina;77.2;79.5;81.7;84.1;86.8;80.4;85.1;86.6;89.7;91.7;87.7;92.7;97.3;97.0;101.4;98.1;93.4;93.8;96.1;92.9;88.5;101.7;106.4;111.1;107.6;101.4;103.1;109.6;109.4;109.4;113.0;123.0;117.5;123.4;123.2;124.8;115.9;110.2;119.7;130.0;138.5;143.5;156.7;160.2;154.3;166.0;168.8;175.3;182.8;182.8;186.0;185.9;184.1;180.3;-2.087%;1.6%;0.5%
Brazil;51.5;56.1;58.0;68.1;74.3;84.1;92.5;104.1;124.3;134.1;140.1;150.5;157.0;169.5;177.7;176.9;168.5;168.8;163.5;170.2;177.6;191.9;197.7;201.8;205.7;197.2;206.4;216.7;227.7;237.6;251.9;271.4;284.6;294.7;298.0;302.2;311.3;311.2;308.5;323.5;330.6;336.2;350.7;374.0;351.4;399.4;424.4;443.4;483.4;504.6;487.6;451.0;458.9;441.8;-3.729%;2.7%;1.3%
Chile;16.7;17.9;18.3;18.7;19.9;20.9;22.4;22.4;21.6;20.7;18.0;18.9;19.6;20.8;21.5;22.1;22.5;19.2;19.4;20.6;20.2;20.9;21.6;25.5;30.8;31.7;32.7;33.4;35.6;38.8;42.3;47.6;54.9;56.4;58.3;56.4;53.8;55.3;55.3;60.2;61.5;65.4;76.5;77.4;74.3;76.1;87.0;89.4;91.1;88.4;88.9;94.1;93.1;95.8;2.906%;2.0%;0.3%
Colombia;21.3;23.1;24.4;25.2;25.3;27.7;26.2;29.3;28.6;32.3;32.7;33.8;34.5;35.8;37.6;37.4;38.5;40.0;42.5;42.7;44.0;43.7;48.2;46.4;48.8;42.0;44.6;52.7;55.3;58.3;58.8;57.5;62.5;63.3;55.0;54.9;52.9;50.5;52.4;51.9;50.9;61.3;60.0;67.4;65.2;72.6;71.3;79.7;83.5;89.2;89.8;97.9;93.2;98.1;5.226%;4.5%;0.3%
Ecuador;2.1;2.2;2.3;2.8;2.9;3.5;3.8;3.8;4.3;4.8;4.8;5.6;6.8;6.9;7.3;9.1;10.0;10.9;10.1;10.6;12.8;13.0;13.1;12.6;13.0;13.2;15.0;14.6;15.3;16.5;15.9;18.0;20.5;20.9;19.0;20.3;20.9;20.3;20.4;23.1;25.2;26.7;27.0;27.5;27.9;32.1;32.9;34.3;36.6;38.5;37.6;35.5;34.4;37.1;7.850%;2.4%;0.1%
Peru;12.5;15.4;15.5;15.7;15.7;16.4;16.4;14.2;16.6;19.6;20.1;20.1;20.2;19.9;20.7;22.2;22.8;22.5;19.5;20.3;19.6;20.9;22.5;22.2;19.8;19.6;18.6;19.2;19.9;21.6;24.3;25.5;25.8;25.4;25.9;26.0;24.4;25.2;24.4;27.5;28.6;27.5;31.3;34.7;34.9;38.6;44.1;43.8;45.1;46.0;49.7;53.2;49.2;52.3;6.367%;4.6%;0.2%
Trinidad & Tobago;7.8;8.1;8.6;8.9;9.2;9.7;9.9;14.3;14.2;13.3;10.2;11.7;11.7;11.0;9.1;8.6;9.6;9.9;9.0;8.1;8.4;9.1;8.0;8.3;8.0;9.6;9.1;10.6;10.7;10.2;11.3;11.8;10.8;10.3;12.4;12.7;13.8;15.5;16.8;17.7;17.8;19.2;21.6;21.6;20.4;22.5;22.5;21.8;23.2;22.6;22.1;21.6;20.7;20.7;-0.077%;-0.4%;0.1%
Venezuela;43.7;44.0;46.0;48.9;49.1;49.3;49.5;52.2;59.6;60.7;62.6;66.1;73.8;75.1;83.1;95.3;99.2;99.8;98.3;98.4;99.9;105.6;101.2;103.6;106.1;111.9;105.9;116.4;113.7;122.1;126.7;118.8;125.8;135.6;129.7;130.8;143.2;145.4;126.2;139.9;146.3;165.4;164.0;171.8;172.0;166.4;170.8;181.3;176.0;170.5;163.6;151.4;142.6;123.7;-13.226%;-1.4%;0.4%
Central America;12.3;12.4;13.1;13.4;14.2;14.7;15.4;16.8;17.7;17.8;19.8;20.3;20.5;20.8;20.8;19.6;19.5;19.4;19.2;18.7;18.7;18.8;20.2;19.5;20.3;21.1;23.1;26.3;28.1;30.8;34.1;33.4;36.0;41.4;40.8;42.7;45.9;46.1;48.2;49.3;49.2;51.9;54.5;55.0;53.9;54.9;58.9;60.0;60.9;62.8;68.6;71.6;71.1;74.8;5.289%;2.7%;0.2%
